Historical Mutual Fund NAV of HDFC Corporate Bond Fund - Growth Option,
scheme:- HDFC Corporate Bond Fund - Growth Option,
Start Date:- 29-06-2010,
End Date:- 23-11-2020,
NAV Date,NAV (Rs)
23-11-2020,24.7576
20-11-2020,24.7481
19-11-2020,24.7266
18-11-2020,24.7088
17-11-2020,24.703
13-11-2020,24.677
12-11-2020,24.6659
11-11-2020,24.6559
10-11-2020,24.6582
09-11-2020,24.6591
06-11-2020,24.6571
05-11-2020,24.6437
04-11-2020,24.6132
03-11-2020,24.6135
02-11-2020,24.6138
29-10-2020,24.6067
28-10-2020,24.6106
27-10-2020,24.6167
26-10-2020,24.6271
23-10-2020,24.5879
22-10-2020,24.5619
21-10-2020,24.5678
20-10-2020,24.5635
19-10-2020,24.5454
16-10-2020,24.5307
15-10-2020,24.5326
14-10-2020,24.5175
13-10-2020,24.504
12-10-2020,24.4682
09-10-2020,24.4481
08-10-2020,24.3295
07-10-2020,24.3132
06-10-2020,24.2988
05-10-2020,24.29
01-10-2020,24.2696
30-09-2020,24.2385
29-09-2020,24.2143
28-09-2020,24.212
25-09-2020,24.2168
24-09-2020,24.2293
23-09-2020,24.2335
22-09-2020,24.224
21-09-2020,24.226
18-09-2020,24.2162
17-09-2020,24.2057
16-09-2020,24.2053
15-09-2020,24.1851
14-09-2020,24.1944
11-09-2020,24.1881
10-09-2020,24.1971
09-09-2020,24.2114
08-09-2020,24.1964
07-09-2020,24.2532
04-09-2020,24.2894
03-09-2020,24.285
02-09-2020,24.2378
01-09-2020,24.2239
31-08-2020,24.1161
28-08-2020,24.0228
27-08-2020,24.0342
26-08-2020,24.0491
25-08-2020,24.0643
24-08-2020,24.0429
21-08-2020,24.0978
20-08-2020,24.1693
19-08-2020,24.1535
18-08-2020,24.1652
17-08-2020,24.1788
14-08-2020,24.1774
13-08-2020,24.1919
12-08-2020,24.1767
11-08-2020,24.1881
10-08-2020,24.1943
07-08-2020,24.205
06-08-2020,24.2161
05-08-2020,24.2462
04-08-2020,24.2422
03-08-2020,24.2368
31-07-2020,24.2243
30-07-2020,24.2003
29-07-2020,24.1858
28-07-2020,24.1748
27-07-2020,24.192
24-07-2020,24.2105
23-07-2020,24.2055
22-07-2020,24.2016
21-07-2020,24.2125
20-07-2020,24.2172
17-07-2020,24.2033
16-07-2020,24.2032
15-07-2020,24.2031
14-07-2020,24.18
13-07-2020,24.1981
10-07-2020,24.1812
09-07-2020,24.1195
08-07-2020,24.0958
07-07-2020,24.0547
06-07-2020,24.0178
03-07-2020,23.9866
02-07-2020,23.9655
01-07-2020,23.9375
30-06-2020,23.9123
29-06-2020,23.8813
26-06-2020,23.8542
25-06-2020,23.8199
24-06-2020,23.7792
23-06-2020,23.7728
22-06-2020,23.7485
19-06-2020,23.7221
18-06-2020,23.6659
17-06-2020,23.6287
16-06-2020,23.612
15-06-2020,23.586
12-06-2020,23.5693
11-06-2020,23.561
10-06-2020,23.5397
09-06-2020,23.5206
08-06-2020,23.5085
05-06-2020,23.5079
04-06-2020,23.4853
03-06-2020,23.491
02-06-2020,23.4697
01-06-2020,23.4814
29-05-2020,23.4858
28-05-2020,23.4901
27-05-2020,23.4911
26-05-2020,23.4889
22-05-2020,23.4674
21-05-2020,23.37
20-05-2020,23.3469
19-05-2020,23.3291
18-05-2020,23.3082
15-05-2020,23.2801
14-05-2020,23.2648
13-05-2020,23.2239
12-05-2020,23.2019
11-05-2020,23.155
08-05-2020,23.1936
06-05-2020,23.1478
05-05-2020,23.0802
04-05-2020,23.0344
30-04-2020,22.9747
29-04-2020,22.9751
28-04-2020,22.9661
27-04-2020,22.9958
24-04-2020,22.9891
23-04-2020,23.1337
22-04-2020,23.0791
21-04-2020,23.0653
20-04-2020,23.0199
17-04-2020,22.8973
16-04-2020,22.7735
15-04-2020,22.7107
13-04-2020,22.6662
09-04-2020,22.6419
08-04-2020,22.6474
07-04-2020,22.7565
03-04-2020,22.8741
31-03-2020,22.9139
30-03-2020,22.8605
27-03-2020,22.8851
26-03-2020,22.3209
24-03-2020,22.2831
23-03-2020,22.266
20-03-2020,22.3622
19-03-2020,22.2566
18-03-2020,22.433
17-03-2020,22.518
16-03-2020,22.6157
13-03-2020,22.6269
12-03-2020,22.7434
11-03-2020,22.8567
09-03-2020,22.885
06-03-2020,22.8792
05-03-2020,22.8618
04-03-2020,22.8566
03-03-2020,22.7913
02-03-2020,22.7937
28-02-2020,22.7748
27-02-2020,22.79
26-02-2020,22.7942
25-02-2020,22.7681
24-02-2020,22.7785
20-02-2020,22.7453
18-02-2020,22.7444
17-02-2020,22.7642
14-02-2020,22.7448
13-02-2020,22.726
12-02-2020,22.6967
11-02-2020,22.7002
10-02-2020,22.6976
07-02-2020,22.6852
06-02-2020,22.6234
05-02-2020,22.5399
04-02-2020,22.5379
03-02-2020,22.5226
31-01-2020,22.4644
30-01-2020,22.4618
29-01-2020,22.4599
28-01-2020,22.4619
27-01-2020,22.4589
24-01-2020,22.4374
23-01-2020,22.4239
22-01-2020,22.405
21-01-2020,22.3912
20-01-2020,22.3783
17-01-2020,22.3688
16-01-2020,22.3534
15-01-2020,22.339
14-01-2020,22.3255
13-01-2020,22.3571
10-01-2020,22.3535
09-01-2020,22.3724
08-01-2020,22.3524
07-01-2020,22.3479
06-01-2020,22.3328
03-01-2020,22.3497
02-01-2020,22.3329
01-01-2020,22.3275
31-12-2019,22.3046
30-12-2019,22.303
27-12-2019,22.309
26-12-2019,22.2944
24-12-2019,22.2895
23-12-2019,22.2873
20-12-2019,22.2637
19-12-2019,22.1944
18-12-2019,22.1954
17-12-2019,22.1676
16-12-2019,22.1531
13-12-2019,22.1347
12-12-2019,22.146
11-12-2019,22.1505
10-12-2019,22.1751
09-12-2019,22.1955
06-12-2019,22.1883
05-12-2019,22.2099
04-12-2019,22.3052
03-12-2019,22.2877
02-12-2019,22.2829
29-11-2019,22.2755
28-11-2019,22.2698
27-11-2019,22.2439
26-11-2019,22.2423
25-11-2019,22.2337
22-11-2019,22.2083
21-11-2019,22.204
20-11-2019,22.2039
19-11-2019,22.185
18-11-2019,22.1746
15-11-2019,22.1487
14-11-2019,22.1319
13-11-2019,22.1071
11-11-2019,22.0793
08-11-2019,22.0791
07-11-2019,22.0935
06-11-2019,22.0918
05-11-2019,22.1165
04-11-2019,22.125
01-11-2019,22.1254
31-10-2019,22.0991
30-10-2019,22.0703
29-10-2019,22.0516
25-10-2019,22.0285
24-10-2019,22.0183
23-10-2019,22.0102
22-10-2019,21.9989
18-10-2019,21.9717
17-10-2019,21.7962
16-10-2019,21.98
15-10-2019,21.9649
14-10-2019,21.9553
11-10-2019,21.9286
10-10-2019,21.934
09-10-2019,21.934
07-10-2019,21.9184
04-10-2019,21.9082
03-10-2019,21.9235
01-10-2019,21.8838
30-09-2019,21.8649
27-09-2019,21.8475
26-09-2019,21.8462
25-09-2019,21.8323
24-09-2019,21.8254
23-09-2019,21.8373
20-09-2019,21.8126
19-09-2019,21.9094
18-09-2019,21.9134
17-09-2019,21.8668
16-09-2019,21.8829
13-09-2019,21.8953
12-09-2019,21.8767
11-09-2019,21.8908
09-09-2019,21.9156
06-09-2019,21.883
05-09-2019,21.887
04-09-2019,21.8909
03-09-2019,21.8765
30-08-2019,21.8307
29-08-2019,21.8302
28-08-2019,21.8416
27-08-2019,21.8462
26-08-2019,21.8492
23-08-2019,21.8046
22-08-2019,21.7959
21-08-2019,21.7761
20-08-2019,21.7556
19-08-2019,21.7324
16-08-2019,21.7267
14-08-2019,21.6845
13-08-2019,21.7421
09-08-2019,21.737
08-08-2019,21.7778
07-08-2019,21.756
06-08-2019,21.7194
05-08-2019,21.6963
02-08-2019,21.7085
01-08-2019,21.656
31-07-2019,21.6588
30-07-2019,21.6398
29-07-2019,21.6172
26-07-2019,21.5575
25-07-2019,21.5514
24-07-2019,21.6026
23-07-2019,21.5902
22-07-2019,21.612
19-07-2019,21.6318
18-07-2019,21.6201
17-07-2019,21.6252
16-07-2019,21.6351
15-07-2019,21.5927
12-07-2019,21.5519
11-07-2019,21.5389
10-07-2019,21.5133
09-07-2019,21.4871
08-07-2019,21.4864
05-07-2019,21.4169
04-07-2019,21.3663
03-07-2019,21.3342
02-07-2019,21.3048
01-07-2019,21.2895
28-06-2019,21.2883
27-06-2019,21.2782
26-06-2019,21.2656
25-06-2019,21.2882
24-06-2019,21.3027
21-06-2019,21.301
20-06-2019,21.3303
19-06-2019,21.3076
18-06-2019,21.297
17-06-2019,21.2529
14-06-2019,21.2432
13-06-2019,21.2119
12-06-2019,21.2034
11-06-2019,21.1863
10-06-2019,21.1809
07-06-2019,21.2096
06-06-2019,21.2368
04-06-2019,21.1883
03-06-2019,21.1985
31-05-2019,21.1706
30-05-2019,21.1263
29-05-2019,21.1329
28-05-2019,21.1308
27-05-2019,21.1211
24-05-2019,21.0556
23-05-2019,21.0286
22-05-2019,20.9889
21-05-2019,20.9799
20-05-2019,20.9803
17-05-2019,20.9322
16-05-2019,20.9133
15-05-2019,20.9103
14-05-2019,20.9044
13-05-2019,20.8859
10-05-2019,20.8664
09-05-2019,20.8643
08-05-2019,20.8594
07-05-2019,20.8497
06-05-2019,20.8424
03-05-2019,20.828
02-05-2019,20.8305
30-04-2019,20.829
26-04-2019,20.8127
25-04-2019,20.7986
24-04-2019,20.8091
23-04-2019,20.7976
22-04-2019,20.7958
18-04-2019,20.8133
16-04-2019,20.8099
15-04-2019,20.8091
12-04-2019,20.8069
11-04-2019,20.8192
10-04-2019,20.8248
09-04-2019,20.8115
08-04-2019,20.8066
05-04-2019,20.8278
04-04-2019,20.8393
03-04-2019,20.8687
02-04-2019,20.874
29-03-2019,20.8105
28-03-2019,20.7801
27-03-2019,20.7549
26-03-2019,20.7538
25-03-2019,20.7542
22-03-2019,20.7243
20-03-2019,20.7009
19-03-2019,20.6815
18-03-2019,20.692
15-03-2019,20.6674
14-03-2019,20.658
13-03-2019,20.6199
12-03-2019,20.6179
11-03-2019,20.5981
08-03-2019,20.5641
07-03-2019,20.5443
06-03-2019,20.52
05-03-2019,20.5108
01-03-2019,20.481
28-02-2019,20.4599
27-02-2019,20.4446
26-02-2019,20.4646
25-02-2019,20.4647
22-02-2019,20.4515
21-02-2019,20.4486
20-02-2019,20.4471
18-02-2019,20.4306
15-02-2019,20.4398
14-02-2019,20.4476
13-02-2019,20.4531
12-02-2019,20.4094
11-02-2019,20.4116
08-02-2019,20.4015
07-02-2019,20.3851
06-02-2019,20.3368
05-02-2019,20.3241
04-02-2019,20.3199
01-02-2019,20.3213
31-01-2019,20.3535
30-01-2019,20.3426
29-01-2019,20.3465
28-01-2019,20.3438
25-01-2019,20.3317
24-01-2019,20.3278
23-01-2019,20.3231
22-01-2019,20.3225
21-01-2019,20.298
18-01-2019,20.2983
17-01-2019,20.3023
16-01-2019,20.3005
15-01-2019,20.3059
14-01-2019,20.3058
11-01-2019,20.2755
10-01-2019,20.2616
09-01-2019,20.256
08-01-2019,20.2494
07-01-2019,20.2285
04-01-2019,20.2221
03-01-2019,20.2183
02-01-2019,20.2202
01-01-2019,20.211
31-12-2018,20.2175
28-12-2018,20.2042
27-12-2018,20.2156
26-12-2018,20.2046
24-12-2018,20.1816
21-12-2018,20.173
20-12-2018,20.1651
19-12-2018,20.1537
18-12-2018,20.1142
17-12-2018,20.1022
14-12-2018,20.0893
13-12-2018,20.0866
12-12-2018,20.0867
11-12-2018,20.0617
10-12-2018,20.0659
07-12-2018,20.0871
06-12-2018,20.0921
05-12-2018,20.0799
04-12-2018,20.0464
03-12-2018,20.0349
30-11-2018,20.0259
29-11-2018,20.0123
28-11-2018,19.9879
27-11-2018,19.9698
26-11-2018,19.965
22-11-2018,19.9447
20-11-2018,19.9261
19-11-2018,19.9147
16-11-2018,19.9006
15-11-2018,19.9006
14-11-2018,19.8852
13-11-2018,19.8671
12-11-2018,19.8523
09-11-2018,19.8409
06-11-2018,19.8253
05-11-2018,19.8202
02-11-2018,19.8073
01-11-2018,19.7906
31-10-2018,19.7813
30-10-2018,19.7788
29-10-2018,19.7753
26-10-2018,19.7617
25-10-2018,19.7616
24-10-2018,19.7582
23-10-2018,19.7542
22-10-2018,19.7538
19-10-2018,19.7446
17-10-2018,19.7344
16-10-2018,19.7368
15-10-2018,19.7243
12-10-2018,19.6986
11-10-2018,19.6901
10-10-2018,19.675
09-10-2018,19.6658
08-10-2018,19.6784
05-10-2018,19.6595
04-10-2018,19.6231
03-10-2018,19.6436
01-10-2018,19.6502
28-09-2018,19.6252
27-09-2018,19.6013
26-09-2018,19.5656
25-09-2018,19.5551
24-09-2018,19.586
21-09-2018,19.6132
19-09-2018,19.6151
18-09-2018,19.61
17-09-2018,19.6024
14-09-2018,19.5987
12-09-2018,19.5862
11-09-2018,19.5934
10-09-2018,19.5959
07-09-2018,19.6224
06-09-2018,19.6167
05-09-2018,19.6143
04-09-2018,19.6319
03-09-2018,19.6511
31-08-2018,19.6445
30-08-2018,19.6449
29-08-2018,19.6499
28-08-2018,19.6468
27-08-2018,19.6458
24-08-2018,19.6322
23-08-2018,19.6321
21-08-2018,19.6256
20-08-2018,19.6211
16-08-2018,19.6022
14-08-2018,19.6019
13-08-2018,19.5988
10-08-2018,19.597
09-08-2018,19.5906
08-08-2018,19.5831
07-08-2018,19.5771
06-08-2018,19.5752
03-08-2018,19.5641
02-08-2018,19.5635
01-08-2018,19.5549
31-07-2018,19.5379
30-07-2018,19.5282
27-07-2018,19.5179
26-07-2018,19.5138
25-07-2018,19.5062
24-07-2018,19.5033
23-07-2018,19.5021
20-07-2018,19.4922
19-07-2018,19.4919
18-07-2018,19.4893
17-07-2018,19.4844
16-07-2018,19.4701
13-07-2018,19.4618
12-07-2018,19.4483
11-07-2018,19.4301
10-07-2018,19.4235
09-07-2018,19.4155
06-07-2018,19.3994
05-07-2018,19.3994
04-07-2018,19.3977
03-07-2018,19.381
02-07-2018,19.3765
29-06-2018,19.356
28-06-2018,19.3496
27-06-2018,19.3628
26-06-2018,19.366
25-06-2018,19.362
22-06-2018,19.3537
21-06-2018,19.3513
20-06-2018,19.3302
19-06-2018,19.3186
18-06-2018,19.3089
15-06-2018,19.287
14-06-2018,19.275
13-06-2018,19.2666
12-06-2018,19.2525
11-06-2018,19.2486
08-06-2018,19.2368
07-06-2018,19.2286
06-06-2018,19.2459
05-06-2018,19.2622
04-06-2018,19.2559
01-06-2018,19.2471
31-05-2018,19.2537
30-05-2018,19.2704
29-05-2018,19.2607
28-05-2018,19.258
25-05-2018,19.2327
24-05-2018,19.2138
23-05-2018,19.2147
22-05-2018,19.2193
21-05-2018,19.2151
18-05-2018,19.2137
17-05-2018,19.1926
16-05-2018,19.2106
15-05-2018,19.2358
14-05-2018,19.2554
11-05-2018,19.2606
10-05-2018,19.2646
09-05-2018,19.2705
08-05-2018,19.2934
07-05-2018,19.2903
04-05-2018,19.2688
03-05-2018,19.266
02-05-2018,19.2634
27-04-2018,19.2362
26-04-2018,19.2365
25-04-2018,19.2575
24-04-2018,19.2852
23-04-2018,19.2934
20-04-2018,19.2978
19-04-2018,19.3289
18-04-2018,19.3573
17-04-2018,19.3731
16-04-2018,19.3736
13-04-2018,19.3663
12-04-2018,19.3627
11-04-2018,19.3622
10-04-2018,19.3834
09-04-2018,19.4057
06-04-2018,19.3976
05-04-2018,19.3884
04-04-2018,19.3548
03-04-2018,19.3471
28-03-2018,19.3109
27-03-2018,19.2973
26-03-2018,19.2399
23-03-2018,19.2365
22-03-2018,19.2302
21-03-2018,19.2243
20-03-2018,19.2237
19-03-2018,19.2212
16-03-2018,19.2159
15-03-2018,19.1948
14-03-2018,19.1809
13-03-2018,19.1794
12-03-2018,19.1648
09-03-2018,19.1369
08-03-2018,19.1354
07-03-2018,19.1194
06-03-2018,19.0927
05-03-2018,19.0869
01-03-2018,19.0711
28-02-2018,19.0768
27-02-2018,19.0772
26-02-2018,19.0841
23-02-2018,19.0752
22-02-2018,19.0595
21-02-2018,19.0785
20-02-2018,19.0853
16-02-2018,19.0905
15-02-2018,19.0862
14-02-2018,19.0978
12-02-2018,19.0897
09-02-2018,19.0808
08-02-2018,19.0787
07-02-2018,19.0642
06-02-2018,19.0444
05-02-2018,19.0332
02-02-2018,19.0231
01-02-2018,19.0163
31-01-2018,19.0531
30-01-2018,19.0469
29-01-2018,19.0597
25-01-2018,19.0525
24-01-2018,19.0566
23-01-2018,19.0567
22-01-2018,19.0468
19-01-2018,19.0407
18-01-2018,19.038
17-01-2018,19.0387
16-01-2018,19.0141
15-01-2018,19.0302
12-01-2018,19.0136
11-01-2018,19.0126
10-01-2018,19.0151
09-01-2018,19.0334
08-01-2018,19.0363
05-01-2018,19.025
04-01-2018,19.0048
03-01-2018,19.0091
02-01-2018,19.0093
01-01-2018,19.0046
29-12-2017,18.9847
28-12-2017,18.9601
27-12-2017,18.9845
26-12-2017,18.9858
22-12-2017,18.9862
21-12-2017,18.9957
20-12-2017,19.0087
19-12-2017,19.0234
18-12-2017,19.0233
15-12-2017,19.0146
14-12-2017,19.0143
13-12-2017,19.0206
12-12-2017,19.0273
11-12-2017,19.0339
08-12-2017,19.0436
07-12-2017,19.0412
06-12-2017,19.036
05-12-2017,19.031
04-12-2017,19.0299
30-11-2017,19.0217
29-11-2017,19.0179
28-11-2017,19.0147
27-11-2017,19.0168
24-11-2017,19.0107
23-11-2017,19.0096
22-11-2017,19.0197
21-11-2017,19.0342
20-11-2017,19.03
17-11-2017,18.992
16-11-2017,18.98
15-11-2017,18.9942
14-11-2017,18.9905
13-11-2017,19.0121
10-11-2017,19.0049
09-11-2017,18.9993
08-11-2017,18.9961
07-11-2017,18.9925
06-11-2017,18.9971
03-11-2017,18.9905
02-11-2017,18.9855
01-11-2017,18.9818
31-10-2017,18.9771
30-10-2017,18.9726
27-10-2017,18.97
26-10-2017,18.9681
25-10-2017,18.9644
24-10-2017,18.9655
23-10-2017,18.9621
18-10-2017,18.9537
17-10-2017,18.9513
16-10-2017,18.9468
13-10-2017,18.9333
12-10-2017,18.9185
11-10-2017,18.9147
10-10-2017,18.9094
09-10-2017,18.9083
06-10-2017,18.9029
05-10-2017,18.9017
04-10-2017,18.9046
03-10-2017,18.9125
29-09-2017,18.8795
28-09-2017,18.8768
27-09-2017,18.8675
26-09-2017,18.8652
25-09-2017,18.8671
22-09-2017,18.8518
21-09-2017,18.8543
20-09-2017,18.8787
19-09-2017,18.875
18-09-2017,18.8694
15-09-2017,18.8661
14-09-2017,18.8688
13-09-2017,18.8681
12-09-2017,18.8682
11-09-2017,18.8727
08-09-2017,18.8666
07-09-2017,18.8659
06-09-2017,18.8662
05-09-2017,18.8607
04-09-2017,18.8614
01-09-2017,18.8532
31-08-2017,18.8299
30-08-2017,18.8211
29-08-2017,18.8188
28-08-2017,18.8133
24-08-2017,18.8017
23-08-2017,18.7976
22-08-2017,18.7972
21-08-2017,18.7956
18-08-2017,18.7855
16-08-2017,18.7737
14-08-2017,18.7719
11-08-2017,18.7622
10-08-2017,18.7652
09-08-2017,18.7685
08-08-2017,18.7639
07-08-2017,18.7589
04-08-2017,18.7485
03-08-2017,18.7457
02-08-2017,18.7173
01-08-2017,18.7082
31-07-2017,18.7014
28-07-2017,18.6933
27-07-2017,18.6887
26-07-2017,18.6796
25-07-2017,18.6786
24-07-2017,18.6737
21-07-2017,18.6647
20-07-2017,18.6469
19-07-2017,18.6395
18-07-2017,18.6297
17-07-2017,18.6184
14-07-2017,18.6008
13-07-2017,18.5968
12-07-2017,18.5882
11-07-2017,18.5788
10-07-2017,18.57
07-07-2017,18.5465
06-07-2017,18.5403
05-07-2017,18.5299
04-07-2017,18.5126
03-07-2017,18.5001
30-06-2017,18.5118
29-06-2017,18.5125
28-06-2017,18.512
27-06-2017,18.5204
23-06-2017,18.5128
22-06-2017,18.5115
21-06-2017,18.509
