Historical Mutual Fund NAV of L&T Mid Cap Fund-Regular Plan-Growth,
scheme:- L&T Mid Cap Fund-Regular Plan-Growth,
Start Date:- 09-08-2004,
End Date:- 13-11-2020,
NAV Date,NAV (Rs)
13-11-2020,142.03
12-11-2020,141.21
11-11-2020,140.12
10-11-2020,139.92
09-11-2020,141.38
06-11-2020,140.83
05-11-2020,140.55
04-11-2020,138.75
03-11-2020,138.59
02-11-2020,137.34
30-10-2020,137.43
29-10-2020,137.02
28-10-2020,137.28
27-10-2020,138.3
26-10-2020,136.2
23-10-2020,137.78
22-10-2020,137.49
21-10-2020,136.31
20-10-2020,136.1
19-10-2020,135.71
16-10-2020,135.28
15-10-2020,134.29
14-10-2020,135.82
13-10-2020,135.9
12-10-2020,136.17
09-10-2020,136.84
08-10-2020,137.34
07-10-2020,137.11
06-10-2020,137.95
05-10-2020,137.77
01-10-2020,138.5
30-09-2020,137.46
29-09-2020,137.41
28-09-2020,137.73
25-09-2020,134.96
24-09-2020,132.87
23-09-2020,135.26
22-09-2020,134.72
21-09-2020,136.3
18-09-2020,140.12
17-09-2020,140.02
16-09-2020,140.47
15-09-2020,139.86
14-09-2020,138.19
11-09-2020,133.39
10-09-2020,132.75
09-09-2020,131.22
08-09-2020,131.62
07-09-2020,132.92
04-09-2020,133.58
03-09-2020,135.18
02-09-2020,134.54
01-09-2020,133.35
31-08-2020,132.07
28-08-2020,137.4
27-08-2020,137.4
26-08-2020,137.52
25-08-2020,137.17
24-08-2020,136.3
21-08-2020,134.47
20-08-2020,132.99
19-08-2020,132.41
18-08-2020,131.12
17-08-2020,129.95
14-08-2020,129.61
13-08-2020,130.29
12-08-2020,129.23
11-08-2020,129.79
10-08-2020,129.94
07-08-2020,128.05
06-08-2020,126.59
05-08-2020,125.88
04-08-2020,125.61
03-08-2020,124.95
31-07-2020,124.58
30-07-2020,123.43
29-07-2020,124.41
28-07-2020,124.4
27-07-2020,123.19
24-07-2020,123.92
23-07-2020,123.74
22-07-2020,122.75
21-07-2020,122.94
20-07-2020,122.93
17-07-2020,121.89
16-07-2020,121.09
15-07-2020,120.1
14-07-2020,120.3
13-07-2020,121.09
10-07-2020,120.97
09-07-2020,121.53
08-07-2020,121.16
07-07-2020,122.03
06-07-2020,121.56
03-07-2020,120.43
02-07-2020,119.88
01-07-2020,118.93
30-06-2020,119.05
29-06-2020,119.03
26-06-2020,120.39
25-06-2020,120.04
24-06-2020,119.26
23-06-2020,120.02
22-06-2020,118.44
19-06-2020,117.03
18-06-2020,115.62
17-06-2020,114.51
16-06-2020,114.03
15-06-2020,113.83
12-06-2020,114.84
11-06-2020,114.15
10-06-2020,115.39
09-06-2020,114.8
08-06-2020,115.19
05-06-2020,115.02
04-06-2020,113.48
03-06-2020,114.09
02-06-2020,113.73
01-06-2020,112.72
29-05-2020,110.7
28-05-2020,109.18
27-05-2020,108.09
26-05-2020,107.71
22-05-2020,106.09
21-05-2020,106.42
20-05-2020,105.6
19-05-2020,104.08
18-05-2020,104.02
15-05-2020,107.62
14-05-2020,107.51
13-05-2020,108.01
12-05-2020,106.76
11-05-2020,107.58
08-05-2020,107.54
07-05-2020,107.67
06-05-2020,107.77
05-05-2020,107.42
04-05-2020,107.92
30-04-2020,111.53
29-04-2020,110.13
28-04-2020,109.44
27-04-2020,108.21
24-04-2020,106.14
23-04-2020,107.86
22-04-2020,106.78
21-04-2020,105.86
20-04-2020,108.29
17-04-2020,107.86
16-04-2020,106.05
15-04-2020,104.55
13-04-2020,103.08
09-04-2020,103.88
08-04-2020,100.86
07-04-2020,98.96
03-04-2020,94.81
01-04-2020,96.46
31-03-2020,98.52
30-03-2020,95.6
27-03-2020,97.39
26-03-2020,97.78
25-03-2020,94.43
24-03-2020,91.78
23-03-2020,91.68
20-03-2020,103.68
19-03-2020,99.66
18-03-2020,104.36
17-03-2020,110.27
16-03-2020,112.59
13-03-2020,119.57
12-03-2020,117.05
11-03-2020,125.58
09-03-2020,126.67
06-03-2020,131.3
05-03-2020,133.22
04-03-2020,133.26
03-03-2020,135.58
02-03-2020,133.45
28-02-2020,134.19
27-02-2020,137.69
26-02-2020,138.68
25-02-2020,140.25
24-02-2020,140.71
20-02-2020,142.57
19-02-2020,141.55
18-02-2020,139.51
17-02-2020,139.93
14-02-2020,140.81
13-02-2020,141.39
12-02-2020,141.18
11-02-2020,140.67
10-02-2020,141.19
07-02-2020,141.77
06-02-2020,140.97
05-02-2020,140.7
04-02-2020,139.46
03-02-2020,137.62
31-01-2020,139.37
30-01-2020,139.89
29-01-2020,141.32
28-01-2020,141.06
27-01-2020,141.55
24-01-2020,141.86
23-01-2020,140.54
22-01-2020,138.83
21-01-2020,139.15
20-01-2020,139.2
17-01-2020,140.03
16-01-2020,139.13
15-01-2020,138.47
14-01-2020,137.18
13-01-2020,136.04
10-01-2020,135.31
09-01-2020,134.7
08-01-2020,133.22
07-01-2020,132.76
06-01-2020,131.6
03-01-2020,134.22
02-01-2020,134.49
01-01-2020,133.2
31-12-2019,132.93
30-12-2019,132.86
27-12-2019,132.15
26-12-2019,130.79
24-12-2019,130.63
23-12-2019,130.3
20-12-2019,130.11
19-12-2019,130.39
18-12-2019,130.15
17-12-2019,130.58
16-12-2019,129.64
13-12-2019,130.49
12-12-2019,129.75
11-12-2019,128.76
10-12-2019,128.38
09-12-2019,129.79
06-12-2019,129.85
05-12-2019,130.92
04-12-2019,131.53
03-12-2019,131.36
02-12-2019,131.99
29-11-2019,132.47
28-11-2019,132.16
27-11-2019,131.58
26-11-2019,130.69
25-11-2019,131.18
22-11-2019,130.4
21-11-2019,130.61
20-11-2019,131.14
19-11-2019,131.28
18-11-2019,130.78
15-11-2019,130.17
14-11-2019,130
13-11-2019,129.72
11-11-2019,130.07
08-11-2019,129.5
07-11-2019,130.46
06-11-2019,129.84
05-11-2019,130.39
04-11-2019,132.12
01-11-2019,132.34
31-10-2019,132.02
30-10-2019,130.8
29-10-2019,130.32
25-10-2019,128.75
24-10-2019,128.7
23-10-2019,128.49
22-10-2019,128.1
18-10-2019,128.24
17-10-2019,126.33
16-10-2019,124.76
15-10-2019,124.66
14-10-2019,124.3
11-10-2019,124.13
10-10-2019,123.78
09-10-2019,124.55
07-10-2019,123.27
04-10-2019,123.94
03-10-2019,124.82
01-10-2019,125.26
30-09-2019,127.32
27-09-2019,128.31
26-09-2019,128.74
25-09-2019,127.56
24-09-2019,129.51
23-09-2019,129.79
20-09-2019,126.01
19-09-2019,119.46
18-09-2019,120.65
17-09-2019,120.12
16-09-2019,122.08
13-09-2019,121.96
12-09-2019,121.24
11-09-2019,121.33
09-09-2019,119.83
06-09-2019,118.5
05-09-2019,117.8
04-09-2019,117.66
03-09-2019,117.73
30-08-2019,119.79
29-08-2019,119.11
28-08-2019,119.68
27-08-2019,120.25
26-08-2019,119.24
23-08-2019,117.42
22-08-2019,116.33
21-08-2019,118.16
20-08-2019,119.75
19-08-2019,120.58
16-08-2019,120.13
14-08-2019,120.18
13-08-2019,119.25
09-08-2019,121.08
08-08-2019,120.05
07-08-2019,119.58
06-08-2019,119.89
05-08-2019,118.2
02-08-2019,119.54
01-08-2019,120.18
31-07-2019,121.36
30-07-2019,120.71
29-07-2019,122.57
26-07-2019,123.46
25-07-2019,123.07
24-07-2019,122.49
23-07-2019,124.22
22-07-2019,124.29
19-07-2019,125.03
18-07-2019,127.07
17-07-2019,128.29
16-07-2019,128.22
15-07-2019,127.83
12-07-2019,128.57
11-07-2019,128.02
10-07-2019,127.53
09-07-2019,128.16
08-07-2019,127.48
05-07-2019,130.16
04-07-2019,132.21
03-07-2019,132
02-07-2019,131.93
01-07-2019,132.21
28-06-2019,131.82
27-06-2019,131.61
26-06-2019,131.17
25-06-2019,129.92
24-06-2019,128.73
21-06-2019,129.08
20-06-2019,129.49
19-06-2019,128.1
18-06-2019,128.77
17-06-2019,128.73
14-06-2019,130.06
13-06-2019,131.13
12-06-2019,131.52
11-06-2019,132.34
10-06-2019,131.7
07-06-2019,131.48
06-06-2019,131.58
04-06-2019,133.41
03-06-2019,134.25
31-05-2019,133.54
30-05-2019,133.61
29-05-2019,133.2
28-05-2019,133.86
27-05-2019,134.17
24-05-2019,131.73
23-05-2019,129.26
22-05-2019,128.89
21-05-2019,129.19
20-05-2019,130.25
17-05-2019,126.26
16-05-2019,125.39
15-05-2019,125.47
14-05-2019,125.73
13-05-2019,125.39
10-05-2019,127.65
09-05-2019,127.35
08-05-2019,127.68
07-05-2019,128.61
06-05-2019,129.73
03-05-2019,130.85
02-05-2019,130.81
30-04-2019,131.57
26-04-2019,132.56
25-04-2019,132.7
24-04-2019,133.1
23-04-2019,132.82
22-04-2019,133.08
18-04-2019,134.92
16-04-2019,135.86
15-04-2019,135.65
12-04-2019,134.97
11-04-2019,134.33
10-04-2019,134.44
09-04-2019,134.44
08-04-2019,134.42
05-04-2019,135.51
04-04-2019,134.51
03-04-2019,134.65
02-04-2019,135.64
01-04-2019,135.85
31-03-2019,135.47
29-03-2019,135.48
28-03-2019,134.31
27-03-2019,133.35
26-03-2019,132.25
25-03-2019,131.02
22-03-2019,132.09
20-03-2019,132.03
19-03-2019,132.39
18-03-2019,131.69
15-03-2019,131.67
14-03-2019,131.64
13-03-2019,131.72
12-03-2019,132.35
11-03-2019,131.53
08-03-2019,129.49
07-03-2019,129.41
06-03-2019,129.64
05-03-2019,128.81
01-03-2019,126.53
28-02-2019,125.05
27-02-2019,124.65
26-02-2019,124.3
25-02-2019,124.27
22-02-2019,123.73
21-02-2019,123.19
20-02-2019,122.21
19-02-2019,121.26
18-02-2019,120.63
15-02-2019,121.8
14-02-2019,122.54
13-02-2019,122.68
12-02-2019,122.98
11-02-2019,123.05
08-02-2019,125.3
07-02-2019,126.67
06-02-2019,126.36
05-02-2019,126.18
04-02-2019,127.11
01-02-2019,127.53
31-01-2019,127.35
30-01-2019,126.56
29-01-2019,125.71
28-01-2019,125.62
25-01-2019,127.54
24-01-2019,129.19
23-01-2019,129.4
22-01-2019,129.68
21-01-2019,130.01
18-01-2019,130.91
17-01-2019,131.63
16-01-2019,131.92
15-01-2019,132.08
14-01-2019,131.51
11-01-2019,131.99
10-01-2019,132.12
09-01-2019,131.79
08-01-2019,131.8
07-01-2019,131.64
04-01-2019,131.51
03-01-2019,131.19
02-01-2019,132.03
01-01-2019,133.07
31-12-2018,133.13
28-12-2018,132.38
27-12-2018,131.54
26-12-2018,131.22
24-12-2018,130.92
21-12-2018,131.84
20-12-2018,133.4
19-12-2018,133.72
18-12-2018,132.21
17-12-2018,131.92
14-12-2018,131.88
13-12-2018,131.59
12-12-2018,131.15
11-12-2018,128.04
10-12-2018,126.96
07-12-2018,128.57
06-12-2018,128.6
05-12-2018,130.29
04-12-2018,131.67
03-12-2018,131.73
30-11-2018,131.36
29-11-2018,130.52
28-11-2018,129.85
27-11-2018,130.18
26-11-2018,129.73
22-11-2018,129.75
21-11-2018,130.43
20-11-2018,130.11
19-11-2018,130.9
16-11-2018,130.81
15-11-2018,131.04
14-11-2018,130.09
13-11-2018,129.99
12-11-2018,129.75
09-11-2018,130.44
06-11-2018,129.04
05-11-2018,129.15
02-11-2018,129.15
01-11-2018,128.16
31-10-2018,127.23
30-10-2018,125.95
29-10-2018,125.12
26-10-2018,123.02
25-10-2018,123.03
24-10-2018,123.39
23-10-2018,122.24
22-10-2018,123.74
19-10-2018,125.29
17-10-2018,127.06
16-10-2018,129
15-10-2018,127.19
12-10-2018,126.01
11-10-2018,123.8
10-10-2018,125.4
09-10-2018,122.15
08-10-2018,122.92
05-10-2018,124.17
04-10-2018,126.67
03-10-2018,128.69
01-10-2018,129.46
28-09-2018,129.45
27-09-2018,131.12
26-09-2018,133.04
25-09-2018,132.58
24-09-2018,132.36
21-09-2018,135.11
19-09-2018,137.44
18-09-2018,138.36
17-09-2018,139.9
14-09-2018,140.43
12-09-2018,139.08
11-09-2018,139.16
10-09-2018,140.14
07-09-2018,141.94
06-09-2018,141.46
05-09-2018,141.05
04-09-2018,142.02
03-09-2018,144.46
31-08-2018,144.9
30-08-2018,144.48
29-08-2018,144.15
28-08-2018,143.81
27-08-2018,143.67
24-08-2018,142.69
23-08-2018,142.94
21-08-2018,143.27
20-08-2018,142.73
17-08-2018,142.54
16-08-2018,141.08
14-08-2018,141.71
13-08-2018,140.61
10-08-2018,141.11
09-08-2018,141.56
08-08-2018,142.02
07-08-2018,141.5
06-08-2018,141.87
03-08-2018,141.65
02-08-2018,140.67
01-08-2018,140.98
31-07-2018,141.15
30-07-2018,140.03
27-07-2018,139.72
26-07-2018,139.03
25-07-2018,138.35
24-07-2018,138.18
23-07-2018,136.96
20-07-2018,135.72
19-07-2018,135.06
18-07-2018,136.05
17-07-2018,136.95
16-07-2018,135.16
13-07-2018,137.79
12-07-2018,138.98
11-07-2018,139.08
10-07-2018,139.6
09-07-2018,138.18
06-07-2018,136.6
05-07-2018,135.97
04-07-2018,136.36
03-07-2018,135.98
02-07-2018,135.19
29-06-2018,135.4
28-06-2018,133.2
27-06-2018,135.08
26-06-2018,136.88
25-06-2018,137.05
22-06-2018,137.97
21-06-2018,137.74
20-06-2018,138.61
19-06-2018,138.42
18-06-2018,139.81
15-06-2018,140.35
14-06-2018,140.7
13-06-2018,141.15
12-06-2018,141.47
11-06-2018,140.76
08-06-2018,140.71
07-06-2018,140.4
06-06-2018,138.29
05-06-2018,136.83
04-06-2018,138.99
01-06-2018,140.63
31-05-2018,142.23
30-05-2018,142.22
29-05-2018,142.05
28-05-2018,142.4
25-05-2018,141.42
24-05-2018,140.09
23-05-2018,140.13
22-05-2018,140.89
21-05-2018,140.48
18-05-2018,142.76
17-05-2018,143.9
16-05-2018,143.35
15-05-2018,143.58
14-05-2018,144.03
11-05-2018,144.54
10-05-2018,144.12
09-05-2018,145.8
08-05-2018,146.44
07-05-2018,146.04
04-05-2018,145.36
03-05-2018,146.24
02-05-2018,147.43
30-04-2018,148.68
27-04-2018,147.68
26-04-2018,147.01
25-04-2018,146.97
24-04-2018,147.75
23-04-2018,147.6
20-04-2018,146.34
19-04-2018,146.31
18-04-2018,145.71
17-04-2018,146.29
16-04-2018,145.61
13-04-2018,145.19
12-04-2018,144.48
11-04-2018,144.68
10-04-2018,144.44
09-04-2018,143.76
06-04-2018,143.98
05-04-2018,143.31
04-04-2018,140.99
03-04-2018,141.73
02-04-2018,140.98
28-03-2018,138.99
27-03-2018,139.21
26-03-2018,137.58
23-03-2018,136.71
22-03-2018,138.21
21-03-2018,139.1
20-03-2018,138.91
19-03-2018,139.04
16-03-2018,140.52
15-03-2018,142.22
14-03-2018,141.3
13-03-2018,141.27
12-03-2018,140.22
09-03-2018,139.46
08-03-2018,140.07
07-03-2018,139.38
06-03-2018,141.41
05-03-2018,142.55
01-03-2018,143.84
28-02-2018,144.35
27-02-2018,143.7
26-02-2018,143.89
23-02-2018,142.83
22-02-2018,140.55
21-02-2018,141.15
20-02-2018,141.26
19-02-2018,141.41
16-02-2018,142.94
15-02-2018,144.43
14-02-2018,145.71
12-02-2018,145.39
09-02-2018,144.17
08-02-2018,144.63
07-02-2018,142.64
06-02-2018,141.34
05-02-2018,143.09
02-02-2018,144.36
01-02-2018,149.55
31-01-2018,148.78
30-01-2018,149.3
29-01-2018,150.92
25-01-2018,152.24
24-01-2018,153.47
23-01-2018,154.3
22-01-2018,153.72
19-01-2018,152.96
18-01-2018,151.96
17-01-2018,153.42
16-01-2018,152.98
15-01-2018,155.37
12-01-2018,155.26
11-01-2018,155.41
10-01-2018,155.31
09-01-2018,155.36
08-01-2018,155.96
05-01-2018,154.62
04-01-2018,153.04
03-01-2018,151.68
02-01-2018,150.18
01-01-2018,150.88
29-12-2017,151.34
28-12-2017,150.46
27-12-2017,150.18
26-12-2017,150.29
22-12-2017,149.93
21-12-2017,149.5
20-12-2017,148.73
19-12-2017,148.02
18-12-2017,146.98
15-12-2017,146.2
14-12-2017,144.68
13-12-2017,144.48
12-12-2017,145.31
11-12-2017,145.79
08-12-2017,145.79
07-12-2017,145.11
06-12-2017,143.38
05-12-2017,144.06
04-12-2017,144.36
01-12-2017,144.67
30-11-2017,146.11
29-11-2017,146.14
28-11-2017,146.04
27-11-2017,145.77
24-11-2017,145.47
23-11-2017,145.42
22-11-2017,145.41
21-11-2017,145.19
20-11-2017,144.57
17-11-2017,144.29
16-11-2017,143.65
15-11-2017,141.75
14-11-2017,143.21
13-11-2017,143.82
10-11-2017,144.52
09-11-2017,144.82
08-11-2017,144.06
07-11-2017,144.86
06-11-2017,145.8
03-11-2017,145.87
02-11-2017,145.87
01-11-2017,145.56
31-10-2017,144.81
30-10-2017,144.85
27-10-2017,143.29
26-10-2017,142.92
25-10-2017,142.33
24-10-2017,141.63
23-10-2017,141.17
18-10-2017,139.94
17-10-2017,140.44
16-10-2017,140.22
13-10-2017,139.8
12-10-2017,139.65
11-10-2017,138.23
10-10-2017,139.04
09-10-2017,138.57
06-10-2017,138.4
05-10-2017,137.52
04-10-2017,137.16
03-10-2017,136.3
29-09-2017,135.22
28-09-2017,133.95
27-09-2017,133.6
26-09-2017,135.61
25-09-2017,134.78
22-09-2017,136.51
21-09-2017,139.75
20-09-2017,139.9
19-09-2017,139.83
18-09-2017,139.59
15-09-2017,138.25
14-09-2017,137.71
13-09-2017,137.32
12-09-2017,138.3
11-09-2017,137.58
08-09-2017,136.11
07-09-2017,136.48
06-09-2017,135.85
05-09-2017,135.79
04-09-2017,134.61
01-09-2017,135.66
31-08-2017,134.62
30-08-2017,134
29-08-2017,132.6
28-08-2017,133.6
24-08-2017,132.64
23-08-2017,131.8
22-08-2017,130.43
21-08-2017,130.87
18-08-2017,132.11
17-08-2017,132.36
16-08-2017,132.01
14-08-2017,130.52
11-08-2017,128.08
10-08-2017,128.01
09-08-2017,131.38
08-08-2017,133.4
07-08-2017,134.62
04-08-2017,133.57
03-08-2017,133.42
02-08-2017,134.61
01-08-2017,134.57
31-07-2017,134.67
28-07-2017,134.01
27-07-2017,133.73
26-07-2017,134.54
25-07-2017,134.43
24-07-2017,134.56
21-07-2017,134.54
20-07-2017,134.74
19-07-2017,134.35
18-07-2017,133
17-07-2017,133.65
14-07-2017,133.87
13-07-2017,134.98
12-07-2017,134.11
11-07-2017,132.99
10-07-2017,132.95
07-07-2017,131.37
06-07-2017,131.73
05-07-2017,131.4
04-07-2017,130.22
03-07-2017,129.85
30-06-2017,128.43
29-06-2017,127.73
28-06-2017,126.78
27-06-2017,126.23
23-06-2017,127.83
22-06-2017,129.21
21-06-2017,129.87
20-06-2017,130.27
19-06-2017,130.34
16-06-2017,129.61
15-06-2017,129.03
14-06-2017,128.65
13-06-2017,128.47
12-06-2017,128.36
09-06-2017,129.27
08-06-2017,128.37
07-06-2017,128.04
06-06-2017,127.29
05-06-2017,128.33
02-06-2017,127.8
01-06-2017,126.62
31-05-2017,126.42
30-05-2017,124.69
29-05-2017,124.32
26-05-2017,125.23
25-05-2017,123.38
24-05-2017,121.68
23-05-2017,123.02
22-05-2017,124.68
19-05-2017,125.91
18-05-2017,126.76
17-05-2017,128.45
16-05-2017,128.54
15-05-2017,127.87
12-05-2017,126.26
11-05-2017,127.05
10-05-2017,127.24
09-05-2017,126.79
08-05-2017,126.54
05-05-2017,125.98
04-05-2017,126.77
03-05-2017,126.14
02-05-2017,125.78
28-04-2017,124.72
27-04-2017,123.76
26-04-2017,123.73
25-04-2017,124.19
24-04-2017,123.53
21-04-2017,122.48
20-04-2017,122.42
19-04-2017,121.03
18-04-2017,120.62
17-04-2017,121.34
13-04-2017,120.91
12-04-2017,120.9
11-04-2017,121.06
10-04-2017,120.09
07-04-2017,119.59
06-04-2017,119.85
05-04-2017,119.86
03-04-2017,118.06
31-03-2017,117.1
30-03-2017,115.81
29-03-2017,115.38
28-03-2017,114.83
27-03-2017,114.07
24-03-2017,114.22
23-03-2017,113.73
22-03-2017,112.76
21-03-2017,113.47
20-03-2017,113.69
17-03-2017,113.84
16-03-2017,113.93
15-03-2017,113
14-03-2017,112.49
10-03-2017,111.15
09-03-2017,111.25
08-03-2017,111.18
07-03-2017,111.65
06-03-2017,111.61
03-03-2017,111.19
02-03-2017,111.08
01-03-2017,112.22
28-02-2017,111.61
27-02-2017,111.14
23-02-2017,111.08
22-02-2017,110.69
21-02-2017,111.08
20-02-2017,110.91
17-02-2017,110.45
16-02-2017,109.95
15-02-2017,108.81
14-02-2017,110.22
13-02-2017,110.7
10-02-2017,111.12
09-02-2017,111.15
08-02-2017,111.08
07-02-2017,110.92
06-02-2017,111.17
03-02-2017,110.05
02-02-2017,108.75
01-02-2017,107.91
31-01-2017,106.06
30-01-2017,106.81
27-01-2017,107.12
25-01-2017,106.68
24-01-2017,106
23-01-2017,104.77
20-01-2017,104.34
19-01-2017,105.48
18-01-2017,104.89
17-01-2017,103.99
16-01-2017,103.69
13-01-2017,103.56
12-01-2017,103.6
11-01-2017,103.93
10-01-2017,103.11
09-01-2017,101.84
06-01-2017,101.51
